cycle,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12
13,0.682594261630085,0.5841200482545069,0.4895726379125436,0.498924557663898,0.4698439564565949,0.4246175220017188,0.5009154755080892,0.3702166598684779,0.3916648920847583,0.38237935024021696,0.29203188732863816,0.3411572029131672,0.23764175890059536
14,0.6438271520871569,0.5559618415667277,0.486574436591611,0.48621649448029836,0.4481492738691221,0.41410069238584857,0.4715328003203999,0.3492985362450167,0.3410678226030811,0.36793445232859273,0.26939924606841725,0.30252094760932696,0.20822245125997998
15,0.6359305643677393,0.5293466275811671,0.46365890026959544,0.4856991607269024,0.41744052093594075,0.4017325690720372,0.44666012086225537,0.32364438270205903,0.30681064719330753,0.316268694546953,0.2550658237800403,0.26348705277248297,0.19507052984811393
16,0.6034364246002516,0.5076443437548388,0.4452794356713941,0.4701821859865882,0.38765502265235613,0.37031155699982266,0.4225110994363078,0.30772024250926194,0.2899915184852447,0.30460715403960914,0.2631637371041219,0.2423629409576451,0.1652892597511658
17,0.5776805784001202,0.4800539754573859,0.4342767516203575,0.45680997767318227,0.35511722778581045,0.35692435020746643,0.38862291860140985,0.27151297196040086,0.27181592844023245,0.29027226663557015,0.24519460485685143,0.22747052289955064,0.14715045436564414
18,0.5426574461938709,0.46943036581602837,0.41847367902063876,0.4450017020699304,0.340743909826591,0.33444937934609803,0.37849297773508045,0.24750647243801197,0.2546107286118742,0.27773002373883604,0.22767761048177299,0.2033233483352669,0.1158933091733156
19,0.5334695549209897,0.46566955941172455,0.4072792505286481,0.41186891919375734,0.3130971526875209,0.30683093207332074,0.3482115296615661,0.2276981750408299,0.2542756171988028,0.25335736473654275,0.1991925872460031,0.17794547606724528,0.09505961610003612
20,0.5092599942755912,0.4497505561736617,0.4054582363556942,0.4021206607864373,0.2940489827998178,0.2865329978185436,0.3333265065888695,0.2019551153653618,0.25058132509059206,0.23816995437583444,0.18689185274863607,0.16584996791448478,0.08839592047043972
21,0.4865690080155366,0.42898740748895525,0.3978430983615547,0.39563647465189944,0.28640688742059717,0.27969692029778603,0.3075467744897425,0.18185598126951902,0.24919417532295673,0.2150232680213082,0.1842557786464421,0.16311834962052577,0.0780708211922489
22,0.47686313587440965,0.4257252471707431,0.3681351861065333,0.3863868013374857,0.27509846618733547,0.2625415877939077,0.2853029149595153,0.1687763665701558,0.24050280972101268,0.1984967370324703,0.1761130530358899,0.13664760809500856,0.07836167495321673
23,0.46107062527933446,0.40705058392198873,0.35513726335501145,0.3745861589413867,0.25033388039933685,0.22621644934628188,0.27736355533613166,0.17037775118535184,0.20783537165510682,0.19605369378023155,0.16467026501398635,0.11277430746135386,0.06961929866470361
24,0.448249428700929,0.3757734915335724,0.3514290201166889,0.36543761354887944,0.24620576537569885,0.21751439197260367,0.25979745724497566,0.16723520629752445,0.19031570248927193,0.16932670148591325,0.16475123057323987,0.09860738866133524,0.056855230842215936
25,0.44046564971109337,0.34937472682111115,0.340822828604452,0.357029106395998,0.24118904510963454,0.20756112834903093,0.2541773624228635,0.1575385916820851,0.1779150052891866,0.1446399319097738,0.1518544466296302,0.08922885317112325,0.0635603390275745
26,0.4342538128985052,0.3315053247779607,0.3202064730586195,0.36147715433084654,0.224658547355091,0.20587893300872662,0.2304190809634304,0.1415306539309517,0.15134552271403087,0.13500100982250782,0.12379767191178734,0.09102034554511519,0.054001565530796325
27,0.40761279281626395,0.31237736991280196,0.31656632638615395,0.367940445623162,0.21772016255854687,0.21303508871795318,0.2221344025213806,0.13128655826201824,0.14053099651898734,0.12776852056487498,0.1341978019699049,0.08759502321846872,0.05157725231158153
28,0.39672537923530565,0.2969745333931769,0.30161850943127877,0.3418797003491244,0.20465751738398835,0.19426517351557693,0.21171800988466818,0.1346942913387262,0.11660366733592599,0.10878332274738901,0.13159285697770498,0.0812891479782832,0.04855923473390252
29,0.36348340586879513,0.2947216465416381,0.3032262726112178,0.30825333796930743,0.19246873782863277,0.17788879490222614,0.1781489972506099,0.1311154135588555,0.09715826507151974,0.12976354328594342,0.13346121997037275,0.059738407050940176,0.03260445163930483
30,0.3548620499423139,0.26797775532098134,0.29189744713443383,0.2935263312872534,0.1848463984062324,0.1588750973864906,0.16054242304033786,0.13424207435008972,0.09970017626524463,0.1151459893377472,0.12325993857843692,0.05898626711954952,0.025192616551620604
31,0.35452374205974346,0.25671500586291757,0.2891858373889577,0.2725167131025276,0.1799272680613107,0.14134202532247844,0.16439446098907623,0.14156276679860452,0.09344692112746901,0.10655418319738802,0.12725302555290477,0.05277157647359432,0.01762968488354371
